metric,td_mean,td_std,td_median,td_n,sli_mean,sli_std,sli_median,sli_n,mean_difference,t_statistic,t_p_value,u_statistic,u_p_value,cohen_d,effect_size_interpretation
Clustering Coefficient,0.42986573626713687,0.05517229019229445,0.4284852297728492,497,0.4592815369687763,0.06300430099661296,0.4516362257868343,171,-0.02941580070163946,-5.793168549726315,1.0653971915898845e-08,31378.0,3.284369614523662e-07,-0.49673818082740484,Small
Average Path Length,4.652158092134629,1.5851546725496886,4.826086956521739,497,4.002278160304628,1.7394351586429564,4.283452502553626,171,0.649879931830001,4.5083739379452314,7.718080291532635e-06,53014.0,1.3448880450430652e-06,0.3905331684086943,Small
Network Density,0.021938578569452978,0.008473122480936807,0.0205462769659011,497,0.03032094457615873,0.013445249671342151,0.0279316712834718,171,-0.008382366006705753,-9.47325722680369,4.6391400659279384e-20,23475.0,2.392196747580938e-18,-0.7459195468625806,Medium
Degree Centrality,0.021938578569452978,0.008473122480936807,0.0205462769659011,497,0.03032094457615873,0.01344524967134215,0.0279316712834718,171,-0.008382366006705753,-9.47325722680369,4.6391400659279384e-20,23475.0,2.392196747580938e-18,-0.7459195468625806,Medium
Transitivity,0.8960901744975237,0.03708353824160399,0.9008971393105004,497,0.8933620753789648,0.038167689151363614,0.8964270523181624,171,0.0027280991185588688,0.8235753863854026,0.4104756789823235,44587.0,0.33627717692298686,0.07249891142966006,Small
