age_years,development_type,n_children,num_nodes_mean,num_nodes_std,num_nodes_median,num_edges_mean,num_edges_std,num_edges_median,density_mean,density_std,density_median,avg_degree_centrality_mean,avg_degree_centrality_std,avg_degree_centrality_median,avg_clustering_mean,avg_clustering_std,avg_clustering_median,avg_closeness_centrality_mean,avg_closeness_centrality_std,avg_closeness_centrality_median,diameter_mean,diameter_std,diameter_median,avg_path_length_mean,avg_path_length_std,avg_path_length_median,transitivity_mean,transitivity_std,transitivity_median
5,SLI,9,142.11111111111111,29.293533605748404,144.0,403.1111111111111,100.30509015554051,408.0,0.04422126900901244,0.019021643825124532,0.040455120101137804,0.04422126900901244,0.019021643825124532,0.0404551201011378,0.49227943544054575,0.07462326093249799,0.4787630929904143,0.6754050196428215,0.2772714086320398,0.8131044114714453,5.333333333333333,5.431390245600108,3.0,2.167832038178045,1.9563978492708,1.2620320855614973,0.8981654710816258,0.023981745399400824,0.893569431500466
5,TD,50,255.1,96.57338332763815,251.5,889.98,543.3550532364184,774.5,0.027668990581510552,0.010206023074355036,0.027822098184141823,0.027668990581510552,0.010206023074355036,0.027822098184141823,0.4315156008185154,0.06576010528232883,0.43276686813737,0.385507468348559,0.2659996075463999,0.2652374700618044,9.12,4.605409419190367,10.0,3.72462509464781,1.7290998775500972,4.010389135745474,0.89991170199571,0.03467628195838744,0.9027837746319329
6,SLI,33,191.75757575757575,93.35819135961982,180.0,757.060606060606,724.7811712593817,523.0,0.040286206166671,0.018432896694693324,0.03767311329388079,0.040286206166671,0.01843289669469332,0.03767311329388078,0.4762514094565465,0.07284579650403533,0.4729912132768607,0.35625490049694825,0.19235748163828797,0.28009515150469744,8.909090909090908,3.8353914106290734,10.0,3.5515214032147004,1.2710899457782037,3.764760762361722,0.8809998939960385,0.04223691900524597,0.8927820602662929
6,TD,99,264.92929292929296,116.41763774474373,249.0,979.030303030303,738.5134193099864,795.0,0.02698467689853118,0.0095297999243166,0.024721393815727515,0.02698467689853118,0.009529799924316597,0.024721393815727515,0.44193380751076283,0.06252360197871663,0.4426577336453914,0.3420222017029908,0.22284714605169414,0.24849402741427204,10.494949494949495,4.841094785470845,11.0,3.9839011161076456,1.6121673062738942,4.254851485148515,0.8925194524598224,0.042234186961262306,0.8968824940047961
7,SLI,50,261.86,108.60601140952427,250.0,977.24,682.4152353731471,834.5,0.027313510712844994,0.007420880298335032,0.02726486193328026,0.027313510712844997,0.007420880298335031,0.02726486193328026,0.4541489570343697,0.05937648957722929,0.45855149645157744,0.33128044431975945,0.2015031979681632,0.2438225625646367,10.72,5.030681375523679,11.0,4.101068732679511,1.7600190736041526,4.336524362661422,0.8961459548552883,0.03769837143511275,0.8952233405085208
7,TD,100,326.1,122.87757724621278,332.0,1202.46,776.8389121005303,1093.0,0.02182957165888902,0.006975915146611325,0.02067641507287151,0.021829571658889012,0.006975915146611325,0.02067641507287151,0.4228689432102341,0.05673621657683831,0.4207845594499906,0.2737996435522889,0.1695834937506618,0.21832414930125915,12.46,4.577988619249703,13.0,4.619056691186452,1.4660474237804264,4.808029909204709,0.8938215015538964,0.03941574079634677,0.8996218639237616
8,SLI,33,264.09090909090907,115.77493350148264,267.0,990.6969696969697,815.5822875731365,886.0,0.02739882666210738,0.00836803768362392,0.026472962066182406,0.027398826662107377,0.008368037683623918,0.026472962066182406,0.4517530919310951,0.05475657178039189,0.4389068414370714,0.37547070611888195,0.2577744605468524,0.24514332451639304,9.909090909090908,4.699492235627938,12.0,3.8168856484382196,1.681112604630322,4.3639194139194135,0.8921029948449397,0.044997959575018946,0.9046346287485968
8,TD,100,373.96,112.61671117717671,394.0,1398.2,711.3632665310298,1391.0,0.020367136148427525,0.007495629238545663,0.018078575815787482,0.020367136148427525,0.0074956292385456634,0.018078575815787486,0.4320654860057217,0.053965445796125146,0.42753539105944194,0.26198727644576425,0.15882450268067275,0.21445108133973317,13.31,4.652999467053917,14.0,4.791122858903641,1.5213872012396403,4.866592087455443,0.8961588656839455,0.03819229726340873,0.9040160696027639
9,SLI,24,337.4583333333333,107.00913376971577,351.5,1540.2916666666667,998.1966992343338,1352.0,0.02737804003472395,0.012368163148457427,0.022718330907178143,0.02737804003472395,0.012368163148457427,0.02271833090717814,0.45874790851474007,0.06885304385300296,0.4408443290272611,0.24072282757878408,0.10296541526162462,0.22223912561556353,13.583333333333334,4.510053182629328,14.0,5.012240903933861,1.8924536037540363,4.781748258021651,0.8983335178149977,0.030536957615841482,0.8970217263429123
9,TD,45,423.97777777777776,70.17267303162993,435.0,1737.5333333333333,660.1040413863147,1809.0,0.01899134820716169,0.005036801083055184,0.018724186224922168,0.018991348207161685,0.005036801083055184,0.018724186224922168,0.43242579984245155,0.046271977945235125,0.4410269224211317,0.21148787881368258,0.07089410846052753,0.1907210404191246,15.28888888888889,4.34648354327026,16.0,5.430014101371486,1.36170224218856,5.535851877407855,0.905117608583423,0.025524720127866034,0.9050391937290033
