metric,td_mean,sli_mean,mean_difference,std_difference,t_statistic,p_value,cohen_d,n_pairs
avg_clustering,0.42758152195435073,0.4592815369687764,-0.0317000150144256,0.09215701043364917,-4.484928778712778,1.3380014816783435e-05,-0.34397833507466963,171
avg_path_length,3.356328346192627,4.002278160304628,-0.6459498141120006,2.0288246535371184,-4.151248432886923,5.2200409123300045e-05,-0.31838622080317824,171
density,0.0287448614481397,0.030320944576158772,-0.0015760831280190724,0.011645753272378734,-1.764558234863333,0.07943388262871814,-0.13533543869224918,171
avg_degree_centrality,0.0287448614481397,0.030320944576158776,-0.0015760831280190717,0.011645753272378732,-1.7645582348633324,0.07943388262871826,-0.13533543869224915,171
transitivity,0.9025899079042617,0.8933620753789646,0.009227832525296981,0.05604896752908502,2.146626803161217,0.033240728253580015,0.16463876021460092,171
num_nodes,239.53801169590642,264.10526315789474,-24.567251461988302,125.94354942188802,-2.543343991103653,0.011871362505438344,-0.19506557957718398,171
num_edges,829.093567251462,1042.859649122807,-213.76608187134502,974.7075094139985,-2.8594923946451423,0.004774905033989272,-0.21931305525681524,171
