development_type,num_nodes_mean,num_nodes_std,num_nodes_median,num_edges_mean,num_edges_std,num_edges_median,density_mean,density_std,density_median,avg_clustering_mean,avg_clustering_std,avg_clustering_median,avg_path_length_mean,avg_path_length_std,avg_path_length_median,transitivity_mean,transitivity_std,transitivity_median
SLI,264.105,120.04,250.0,1042.86,820.493,851.0,0.03,0.013,0.028,0.459,0.063,0.452,4.002,1.739,4.283,0.893,0.038,0.896
TD,346.664,124.424,362.0,1293.656,753.146,1229.0,0.022,0.008,0.021,0.43,0.055,0.428,4.652,1.585,4.826,0.896,0.037,0.901
